질문,답변,processed
"제 상황에 어떤 선택이 좋은지 모르겠어서 질문글 남깁니다.집 컨디션은 비슷한 것 같아요 ㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍ먼저 전세는 보증금 1.5억 생각 중입니다.청년버팀목전세자금대출(1억 2000만) + 신용대출(2000만) + 보유현금(1000만) 입니다. [월 이자] 》버팀목 = 18만원》신용대출(7% 가정) = 약12만원》총 40만원(관리비 10만포함)ㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍ다음은 월세 3000~3500/20~30만입니다. 월세는 청년보증부 월세대출을 3500만원 받아서 월 이자는 다음과 같습니다.》보증부 = 3만 8천원》월세 20~30만원》총 34~ 44만원(관리비 10만 포함)ㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍ은행에 문의해본결과 버팀목은 1.2억까지 다 나온다고 합니다(안전한 집이란 조건하에). 보증부 월세대출은 문의는 안했지만 버팀목도 되니까 될 것 같습니다. 제 직업은 아래와 같습니다.직업 : 중소기업 직원소득(세전) : 월 325만원(연봉 3900만원) 내년에 350만원으로 인상재직기간 : 올해 2월 ~신용점수 : KCB 753 / NICE 819나이 : 만25세(98년생)성별 : 남자신용카드 사용여부 : 아예 없음대출, 연체 여부 : 아예 없음전세, 월세 어떤게 좋으려나요..",월세가 차라리 더 좋아 보입니다 전체적으로 좀 싸게 들어가면 전세가 좋기는 하지만 오히려 전세가 더 많이 들어갈 가능성이 높습니다 게다가 깡통 전세나 경매 위험까지 있어서 전세는 좀 불안 합니다  년 정도 더 살다가 전세를 생각하거나 매매를 생각해 보시는게 좋습니다,월세 차라리 좋다 보이다 전체 으로 싸다 들어가다 전세 좋다 기다 하지만 오히려 전세 많이 들어가다 가능성 높다 게다가 깡통 전세 경매 위험 까지 있다 전세 는 불안 하다 살다 전세 를 거나 매매 를 하다 보다 좋다
서울 주거 포털에서 청년월세지원을 신청했는데 아직도 심사중이라고 뜹니다 월세지원 못받으면 월세 연장안하고 이사를 갈 예정 지원받으면 1년정도 지원받으며 연장하려고 하는데 이거 발표는 언제 나는지 알 수 있을까요..?아님 대략적으로 몇개월뒤에 심사가 끝난다 이런게 있을까요? 빨리 결정하고 다른 집을 알아보고 이사도 가야하는데답답해서 여쭤봅니다ㅠㅜ,결과 발표   월중 예정이라고 돼 있어요,결과 발표 예정 이라고 돼다 있다
인천 연수구 송도국제도로 123 오네스타 랑 최대한 가까운 곳으로 추천 부탁드립니다.서울 지역으로 부탁드립니다 월세 싸면 더 좋을꺼 같아요500~35까지만 부탁해요,신림동 독산동 신월동 시흥동 가산동 등등 입니다그러나 보통 원룸 월세가      만원 정도 이여서    부동산 중개소  여러곳에 예약 합니다  그러면 연락이 옵니다   주의사항은 저지대 지하층 침수주의  유흥가 소음주의 합니다,신림동 독산동 신월동 시흥동 가산동 등등 이다 보통 원룸 월세 만원 여서 부동산 중개 소 여러 곳 에 예약 하다 그러면 연락 옵니다 주의 사항 은 저 지대 하층 침수 주의 유흥가 소음 주의 하다
서울월세지원 10번 받아서 끝났는데 또 신청해서 또 받을수 있나요,답변드립니다최대   개월 지원받고    만원까지 가능한데 생애  회만 가능합니다그러므로 지금은 지원받지 못합니다 질문서울월세지원질문,답변 드리다 최대 개월 지원 받다 만원 까지 가능하다 생애 회 만 가능하다 그러므로 은 지원 받다 못 하다 질문서 울 월세 질문
"서울시에서 하는 서울 월세지원에 선정되었는데4.5,6,7,8월 금액이 9월 말에 dream계좌로 입금된다고 하더라고요 제가 당장 8월 월세낼 돈을 부모님한테 지원을 받아서 내고9월에 지원금으로 나온 돈을 부모님께 계좌이체 해드려도 상관없나요?결론은 월세 지원금으로 들어온 돈을 부모님께 이체 해드려도 되는지가 궁금합니다. 이렇게 개인적인 용도로 사용도 가능한지요",괜찮습니다,괜찮다
마음에 드는 원룸이 보증금 5천 월세20 관리비 10입니다최우선변제금액이 3400만원이구요건물시세가 밸류맵으로 확인해봤을때 7억8천8백만원이였구요 등기부등본에 채권최고액이 5억4천으로공동담보로 잡혀있었습니다안전한 집 일까요…..,상태로 보았을때 안전하지 않습니다 혹시 모를 위험애 대비해서 다른곳을 찾는걸 추천 드립니다   궁금증이 풀리셨다면 채택 부탁드립니다,상태 로 보다 안전하다 않다 혹시 모르다 위험 애 대비 하다 곳 을 찾다 추천 드리다 궁금증 풀리다 채택 부탁드리다
"서울에 월세 싼곳이 많은 이유가 몬가여? 부동산 앱으로 확인하니깐 60/60 이거나 55/55인 곳도 많던데, 왜이리 다 싼거죠?? 무슨 문제가 있는건가여??",안녕하세요  서울지방변호사회 소속으로 지식   법률상담을 진행하고 있는 최홍준 변호사입니다   부동산 시세의 경우 수요와 공급으로 정해집니다   직접 눈으로 확인한것은 아니지만      의 경우 사진상의 크기보다 매우 작은 방이기 때문에 금애이 낮은 것 일수도 있습니다   수요와 공급으로 금액은 조정될 수밖에 없습니다,안녕하다 서울 지방 변호 소속 으로 지식 법률 상담 을 진행 하고 있다 최홍 준 변호사 이다 부동산 시세 의 수요 와 공급 으로 정해지다 직접 눈 으로 확인 은 아니다 의 사진 상의 크기 보다 매우 작다 방 이기 에 금애 낮다 일수 도 있다 수요 와 공급 으로 금액 은 조정 되다 밖에 없다
"제출서류 중에 월세 이체 확인증이 필요하던데, 공고문에는 6~8월로 되어 있더군요. 제가 9월 15일에 첫 월세를 납부했는데 신청 대상이 아닌 건가요?",아쉽게도 불가,아쉽다 불가
서울에서 35년을 부모님 밑에 있다가 지방에 취직하면서 아무생각없이 월세를 계약하고 전입신고를 했습니다.그런데 서울에서의 분양권 청약이라고 해볼라면 서울에 살아야 한다고 하더러고요.제 질문은 다음과 같습니다.1. 부모님 집으로 다시 세대원으로 들어가게 될경우 세금 또는 법적으로 문제가 생기나요? 연봉이 기준치를 넘어가서 세액공제는 어차피 못 받급니다2. 부모님 집에 세대원으로 들어갈 경우 월세집은 계약은 제 이름으로 계속 하더라도 문제는 없나요? 어차피 보증금이 매우 싸서 없는돈이라고 생각하고 띠어먹혀도 상관은 없습니다. 3. 제가 세대원으로 들어갈 경우 부모님의 국민연금 및 노령연금 등에 문제가 발생하나요?4. 서울로 다시 전입신고를 하면 주택청약적금도 다시 가입 시작하거나 주택청약적금 쪽에 다시 이야기 해야 하는게 있나요?5. 월세집은 재계약하되 전입은 안해도 되는 거죠?6. 자동차등록 및 면허증도 바꿔야 하나요?,부모님 집으로 다시 세대원으로 들어가게 될 경우 세금 또는 법적으로 문제가 생기나요  연봉이 기준치를 넘어가서 세액공제는 어차피 못 받습니다   답변  특별한 문제는 없습니다      부모님 집에 세대원으로 들어갈 경우 월세집은 계약은 제 이름으로 계속 하더라도 문제는 없나요  어차피 보증금이 매우 싸서 없는돈이라고 생각하고 띠어먹혀도 상관은 없습니다   답변  해당주택이 경매에 넘어갈 경우 보증금을 온전히 반환받지 못할 수 있습니다      제가 세대원으로 들어갈 경우 부모님의 국민연금 및 노령연금 등에 문제가 발생하나요   답변  문제가 되지 않습니다      서울로 다시 전입신고를 하면 주택청약적금도 다시 가입 시작하거나 주택청약적금 쪽에 다시 이야기 해야 하는게 있나요   답변  기존 주택청약종합저축을 그대로 유지하면 됩니다      월세집은 재계약하되 전입은 안해도 되는 거죠   답변  질문인의 주민등록을 전출하면 해당주택이 경매에 넘어갈 경우 보증금을 온전히 반환받지 못할 수 있습니다      자동차등록 및 면허증도 바꿔야 하나요   답변  자동차등록 및 면허증은 변경하지 않습니다    이상입니다,부모님 으로 세대 으로 들어가다 되다 세금 또는 법적 으로 생기다 연봉 기 준치 를 넘어가다 세액 공제 는 어차피 못 받다 답변 특별하다 는 없다 부모님 에 세대 으로 들어가다 월세 집다 계약 은 제 이름 으로 계속 하다 는 없다 어차피 보증금 매우 싸다 없다 돈 이라고 하고 띠 어 먹히다 상관 은 없다 답변 해당 주택 경매 에 넘어가다 보증금 을 오다 반환받다 못 하다 있다 제 세대 으로 들어가다 부모님 의 국민연금 및 노령 연금 에 발생 하나요 답변 되다 않다 서울 로 전입 신고 를 하다 주택 청약 적금 도 가입 시작 거나 주택 청약 적금 쪽 에 이야기 하다 하다 있다 답변 기존 주택 청약 종합 저축 을 그대로 유지 하다 되다 월세 집다 재계약 되다 전입 은 안해 도 되다 거 죠 답변 질문 인 의 주민등록 을 전출 하다 해당 주택 경매 에 넘어가다 보증금 을 오다 반환받다 못 하다 있다 자동차 등록 및 면허증 도 바꾸다 하나요 답변 자동차 등록 및 면허증 은 변경 하다 않다 이상 이다
제가 올해 8월달부터 주소지를 지방 본가에서 서울로 옮기고 서울 청년월세 한시 특별지원 정책 혜택을 받고싶은데 신청기간이 끝난건가요..? 다른 월세지원받을 방법이 없을까요??ㅠㅜ,제가 올해  월달부터 주소지를 지방 본가에서 서울로 옮기고 서울 청년월세 한시 특별지원 정책 혜택을 받고싶은데 신청기간이 끝난건가요    다른 월세지원받을 방법이 없을까요        서울 신청이 끝났다면 국가 지원의 복지로에서 신청을 하시면 되겠지요  오는  월까지는 신청이 가능한 것이고   가지 중  가지만 받을 수가 있으니까요,제 올해 월달 부터 주소지 를 지방 본가 에서 서울 로 옮기다 서울 청년 월세 한시 특별 지원 정책 혜택 을 받다 신청 기간 끝나다 가요 월세 지원 받다 방법 없다 서울 신청 끝나다 국가 지원 의 복지로 에서 신청 을 하다 되다 오다 까지는 신청 가능하다 이고 만 받다 수가 있다 요
