,구분,질문,답변
0,팁,아파트를 매도할때 집 앞에 부동산에만 얘기를 할지동네 부동산에 전부다 얘기를 할지 고민인데요.집 매도할때 부동산 거래 팁 알려주세요.,안녕하세요. 한결같은고양이32입니다.최소3군데가봐야정확한가격이나와요부동산중계소마다조금식말이달라요3군데가봐야됨니다
1,팁,제꿈이 부동산을 운영하면서 매매도 열심히해드리고 돈도 많이벌고싶은 22살입니다 부동산 시작시 들어가는 비용을 마련햇는데 어리다고 차별이 다른곳과 잇거나 그러진 않겟죠? 부동산 운영 꿀팁알고계시면 팁도 부탁드려요 ㅠㅠ,"안녕하세요. 박어상 공인중개사입니다.부동산을 운영하고 돈을 버는 것은 나이와는 전혀 상관이 없다고 해야겠지요 .일단 부동산을 운영한다 함은 먼저 공인중개사 자격증을 취득하셔야겠지요. 이론적으로 기본을 완전히 갗 추지 않으면 실무적인 것을 잘 한다하더라도 반쪽밖에 모르는 겉똑똑이가 되니까요.젊은 마인드로 발빠른 스피드와 참신한 사고방식으로 경험과 노하우를 축적해가셔서,  훌륭한 부동산 사업가로  번창하시길 기원합니다이상으로 답변에 갈음합니다감사합니다"
2,팁,사정이 좋지않아서 지금 매수세가 없지만 집을 팔아야하네요ㅜㅜ근처부동산에는 전화돌려보니 2달간 놀았다고 하구요급매가 말도안되는 가격에 나와있는데도 거래가 안되네요 ㅜㅜ저희도 급매로만 내놔야하는건지 ㅜㅜ매매잘되는 꿀팁좀 주세요~~근처 부동산은 무조건 거래가 안된다고만하고~집근처말고 근처동네에 매물을 내놓는게 좋을까요~머리가아프네요 ㅜㅜ,안녕하세요. 홍성택 공인중개사입니다.지금 부동산시장이 얼어붙었죠.다들 관망중인듯요.일단1. 동네 부동산에 최대한 많이 내놓으세요.(공동중개를 하겠지만 내가가자 매물을 먼저 권하게 되거든요. 수수료를 양쪽에서 받기위해...)2. 가격을 아까우시겠지만 최대한 낮추세요.3. 부동산에 집 내놓으실때 집내부 사진도 깨끗하고 넓게 나오게 찍어서 보내주세요. 네이버부동산에 올릴수 있게요.
3,팁,곧 계약이 다되가서 월세 방을 구해야하는데요이 집 구할때도 부동산 사람이 의도적으로 안좋은 집을 자꾸 소개 시켜줘서;;;다른데 가도 거의 그런 식이던데 어떻게 해야할까요,안녕하세요. 서주환 공인중개사입니다.여러군데 공인중개사를 통해 다양한 매물을 확인 후 결정해보는것도 방법입니다.각 공인중개사에 나와 있는 매물 차이가 있기에 한곳을가보고 마음에 드는 월세 방이 없다면 다는 공인중개사 사무소를 통해 다른 물건을 소개받아 보세요^^
4,팁,반려견이 2마리있는데 부동산을 하루에 15곳도 가봤지만하나같이 집이 없다 또는 집주인이 개는 안된뎄다!하면서 전부 퇴짜네요...반려견있는 분이나  부동산분들집구하는 꿀팁 없을까요? 요즘 집값이 비싸지면서나오는 매물도(월세) 없다고 하셔서 더 힘드네요 ㅠㅠ어플보고 연락해도 퇴짜..답답해서 질문 남겨봐요,안녕하세요. 양정섭 공인중개사입니다.안타깝지만 집주인이 반려견을 허락해야지 계약이 됩니다.집주인에게 반려견을 키우는 중 훼손하는 것에 원상복구를 한다고 설득하면 되지만 이웃 중에 반려견 소리를 싫어하는 사람이 있을 경우 이웃과 갈등이 발생할 수 있고 큰사고로도 이어질 수 있기때문에 집주인은 안된다고 합니다.계속 발품을 팔면서 부동산을 다녀보거나 기다려야 하는 수 밖에 없습니다.
5,팁,월세살면서 월세나가는게 아까워 전세자금을 마련하기위해 저축을 차곡차곡 쌓고 있는데요 메스컴을 통해서 보듯 전세사기가 비일기재 하다보니 희망감이 회의감으로 느껴지는 요즘인데요 그렇다고 평생을 월세  내가면서 살수도 없는 노릇이고 내집마련때까지는 전세를 거쳐야하는데 전세사기를 당하지않는 방법 및 팁좀 주시죠 올바른 부동산 전문가님들?,"안녕하세요. 주영민 공인중개사입니다.요즘 이런 질문을 많이 받는 것 보면 다들 걱정이 많으신것 같습니다.그런데 제가 알기로는 뉴스에 나온 사례를 법적으로 미리 예방하기엔 어려움이 있더라고요.전세계약시 특약에 문제 발생시 중개사가 일부분이라도 보상한다 라고 적으면,중개사가 그나마 안전한 매물을 추천하지 않을까 싶습니다.그리고 다른 이야기하자면, 전세보다 월세가 더 좋습니다.법적으로 보호할수 있는 내용이 많고, 월세 매달 나가는 것도 아깝지만전세금과 같이 큰 돈이 2년동안 묶이는 것도 사실 기회비용 측면에서 마이너스입니다."
6,팁,부동산 경매를 시작할려고 하는 회사원입니다 시작할려고하니 두려움이 눈앞을 가립니다~~ 전문가님은 처음 시작할때 어떤 마음이었는지~그리고 경매를 하면서 제일 힘들었던일~마지막으로 추천해줄만한 책?,"안녕하세요. ""부동산코칭 박샘"" 박진혁 공인중개사입니다.부동산경매를 잘 할수 있는 방법은 손품 발품 머리품 3품을 팔아야 합니다.먼저 공부를 해야 합니다. 이론부터 실무까지 공부를 해야 합니다. 그리고 물건을 찾아서 현장답사 즉 임장활동을 꾸준히 해야 합니다. 그리고 꾸준히 입찰에 참여도 해야 합니다. 그리고 낙찰을 받아서 매도까지 여러번 해보아야 합니다 그러면 차츰차츰 실력이 향상이 되고 전문가가 되어 갑니다."
7,팁,제가 이번에 부동산 자격증 시험을 준비한다고 교재랑 모의고사 문제집을 사려니깐 가격이 좀 나가서요. 강의료도 비싼데 책이라도 좀 저렴하게 구매하고 싶은데 좋은 팁이 있나요?,안녕하세요. 너그러운코뿔소140입니다.인터넷 서점 에서 구매할 때 중고를 살 수 있습니다조금 저렴한 가격에 판매하는 것 같습니다
8,팁,종합소득세가 너무 많이 나오는데요 절세하는 팁좀 알려주세요연매출 4억정도 되는 회산데요 전년도 종합소득세가 1천만원 이상 나왔네요. 소득세 절세 방안중 부동산츄ㅣ득으로 효과를 볼 방법이 있는지 문의드립니다.,"안녕하세요? 아하(Aha) 세무·회계 분야 전문가 문용현세무사입니다. 질문하신 내용에 대하여 아래와 같이 답변 드립니다.사업용부동산을 취득하면서 사업용부동산과 관련된 대출 이자비용이 있다면 해당 이자비용은 사업소득 경비로 공제가 가능합니다. 또한, 사업용부동산은 매년 감가상각비로 비용처리가 가능합니다.도움이 되셨길 바랍니다. 감사합니다."
9,팁,안녕하세요.이번에 부동산 매수하여 곧 잔금 예정인 사람입니다. 은행 대출이 있어서 은행에서 연결해준 법무사님에게 견적을 받아야하는데 이 경우 예상했던 금액보다 금액이 큰 경우 어떤 방법으로 가격 조율을 해야할까요?,안녕하세요. 강한나팔새38입니다.어플을 이용해서 서비스를 받는 것 더 나아보입니다.대면 상담시 가격협상의 어려움이 있고 성실하게 도와주지 않을 가능성도 있어보입니다.
